"User_ID sorted by SD","Ensembl_gene_id","symbol","Ctrl1","Ctrl2","SuniLova1","SuniLova2","Suni1","Suni2","SuniTha1","SuniTha2"
" RP11-466H18.1","","",0,0,967,249,1,746,0,2302
" ITGB1P1","ENSG00000269378","  ITGB1P1",2125,1816,981,1245,0,0,1096,2596
" AL513122.2","","",2603,2039,499,1269,0,0,573,1140
" AC090094.1","","",1589,749,1725,1432,0,0,351,1563
" ZACN","ENSG00000186919","  ZACN",6,2,9,1,1598,1716,10,0
" EIF3CL","ENSG00000205609","  EIF3CL ENSG00000205609",0,2974,6880,793,3488,2594,211,5837
" CXCR5","ENSG00000160683","  CXCR5",0,78,0,0,868,1515,338,0
" CXCR5","ENSG00000160683","  BLR1",0,78,0,0,868,1515,338,0
" CTD-2369P2.12","","",0,302,0,0,595,980,106,0
" HNRNPUL2-BSCL2","ENSG00000234857","  HNRNPUL2-BSCL2",2141,1152,1474,1643,70,0,1002,1124
" HIST2H2AA3","","",15,177,0,0,0,1781,141,8
" RP11-572P18.1","","",0,256,1890,526,2506,2594,512,1258
" AC027682.1","","",0,0,366,0,0,0,98,460
" BIVM-ERCC5","ENSG00000270181","  BIVM-ERCC5",466,183,472,473,0,0,206,451
" AL513122.1","","",508,0,510,76,0,0,41,132
" AC009133.22","","",428,206,0,220,0,0,77,161
" AC110615.1","","",0,112,0,0,301,341,37,0
" AL109923.1","","",322,255,407,227,0,0,146,338
" PALM2-AKAP2","","",672,232,360,309,0,11,283,512
" H3F3AP4","","",15,107,873,221,240,0,251,707
" RP11-641D5.1","","",0,402,696,272,886,897,336,1121
" ISY1-RAB43","ENSG00000261796","  ISY1-RAB43",514,511,1042,753,216,0,888,377
" RP11-162P23.2","","",92,34,194,188,0,0,62,442
" ARMCX7P","ENSG00000204072","  ARMCX7P",0,142,5,17,144,233,0,0
" EGR1","ENSG00000120738","  EGR1 ENSG00000120738",728,777,45,35,90,6,75,30
" AC009950.1","","",0,0,108,0,0,0,0,294
